Name,Sessiontype,Presenter,Location,Capacity,Teaser,Description
Opening Ceremonies,Opening Ceremonies,Opening Presenter,Chan Centre,1200,Teaser,Description
Cannot Attend Opening Ceremonies,Opening Ceremonies,,,1200,Teaser,Description
Nolan Watson,Featured Presenter 1,Nolan Watson,Location,300,"Nolan Watson is the President & CEO of Sandstorm Gold and Sandstorm Metals & Energy, two publicly listed companies that offer an innovative form of financing to the resource industry. Over the last 3.5 years, the two Sandstorm companies have raised close to $500 million and grown their combined market capitalization to over $1 billion dollars. Mr. Watson is also the former CFO of Silver Wheaton Corp., where he helped raise over US$1 billion in debt and equity. He has won numerous awards for his professional and charitable achievements including the “CEO of the Year” by Business In Vancouver and Canada’s Top 40 Under 40 award. Aside from his business ventures, Mr. Watson is also an active philanthropist. He founded Nations Cry in 2005, a charity focused on education-based development in Sierra Leone, Africa. Mr. Watson is a CA and a CFA charter holder and received his B.Comm. from UBC.","Nolan Watson is the President & CEO of Sandstorm Gold and Sandstorm Metals & Energy, two publicly listed companies that offer an innovative form of financing to the resource industry. Over the last 3.5 years, the two Sandstorm companies have raised close to $500 million and grown their combined market capitalization to over $1 billion dollars. Mr. Watson is also the former CFO of Silver Wheaton Corp., where he helped raise over US$1 billion in debt and equity. He has won numerous awards for his professional and charitable achievements including the “CEO of the Year” by Business In Vancouver and Canada’s Top 40 Under 40 award. Aside from his business ventures, Mr. Watson is also an active philanthropist. He founded Nations Cry in 2005, a charity focused on education-based development in Sierra Leone, Africa. Mr. Watson is a CA and a CFA charter holder and received his B.Comm. from UBC."
Richard Loat,Featured Presenter 1,Richard Loat,Location,300,"Richard Loat is CEO and Founder of Five Hole for Food, a non-profit redefining the social giving landscape. At 22, he was selected as one of BC’s top 24 under 24, and has been the brainchild of a non-profit that has risen from a single 140-character tweet, to raising over 200,000 pounds of food in just 2 years. An SFU alumnus, Richard is determined to make a difference with everything he does ranging from mentoring youth through to his work as a disaster relief response team member. An avid athlete he has an interest in testing the boundaries of social media and coming up with new creative ways to use the mediums. No one hands you a roadmap for your dreams, passions and ambitions. Richard is creating a roadmap for everyone and invites you to join him.","Richard Loat is CEO and Founder of Five Hole for Food, a non-profit redefining the social giving landscape. At 22, he was selected as one of BC’s top 24 under 24, and has been the brainchild of a non-profit that has risen from a single 140-character tweet, to raising over 200,000 pounds of food in just 2 years. An SFU alumnus, Richard is determined to make a difference with everything he does ranging from mentoring youth through to his work as a disaster relief response team member. An avid athlete he has an interest in testing the boundaries of social media and coming up with new creative ways to use the mediums. No one hands you a roadmap for your dreams, passions and ambitions. Richard is creating a roadmap for everyone and invites you to join him."
Cannot Attend Opening Ceremonies,Featured Presenter 1,,,1200,Teaser,Description
Caroline MacGillivray,Featured Presenter 1,Caroline MacGillivray,Location,300,"Caroline MacGillivray is the National Executive Director and founder of Beauty Night Society. MacGillivray, a Gastown Actor’s Studio Graduate, believes that healthy self-esteem can be fostered through entertaining and interactive educational programming. Now in its 12th year, Beauty Night has given over 26,000 life-makeovers to women who live in poverty. By guiding and inspiring others to embrace the concept that education can be enjoyable, Caroline has affected the lives of thousands. Her efforts have not gone unnoticed: she is honored to be a 2002 Flare Volunteer Award (national) recipient, Shakti Public Service 2012 recipient, 2010 Spirit of the Crane Gold Community Award recipient, MetoWe Finalist, 2 time Woman of Worth finalist and a five-time YWCA Woman of Distinction Nominee. Caroline is also known as the host and producer of Sexy in Vancity Radio on 101.9FM CITR (Wednesday Nights at 10pm).","Caroline MacGillivray is the National Executive Director and founder of Beauty Night Society. MacGillivray, a Gastown Actor’s Studio Graduate, believes that healthy self-esteem can be fostered through entertaining and interactive educational programming. Now in its 12th year, Beauty Night has given over 26,000 life-makeovers to women who live in poverty. By guiding and inspiring others to embrace the concept that education can be enjoyable, Caroline has affected the lives of thousands. Her efforts have not gone unnoticed: she is honored to be a 2002 Flare Volunteer Award (national) recipient, Shakti Public Service 2012 recipient, 2010 Spirit of the Crane Gold Community Award recipient, MetoWe Finalist, 2 time Woman of Worth finalist and a five-time YWCA Woman of Distinction Nominee. Caroline is also known as the host and producer of Sexy in Vancity Radio on 101.9FM CITR (Wednesday Nights at 10pm)."
Matt & Stephanie Corker,Featured Presenter 1,Matt & Stephanie Corker,Location,300,"This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives.","This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives."
<<<<<<< HEAD
=======
Matt & Stephanie Corker,Featured Presenter 2,Matt & Stephanie Corker,Location,301,"This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives.","This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives."
Matt & Stephanie Corker,Featured Presenter 2,Matt & Stephanie Corker,Location,302,"This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives.","This dynamic sibling duo is committed to setting goals and chasing dreams; they live big lives and are wildly inspired by seeing others do the same! After receiving his B.Comm from UBC and his MBA from the Copenhagen Business School, Matt now rocks out at Lululemon Athletica building their international operations. He is your biggest fan and your burst of energy – dropping truth bombs from his yoga mat, his instructor spin bike, or while rockin’ the mic from the stage. Steph leads the global recruiting team at Lululemon by day and while her heart beats swim-bike-running her way to finish lines! She is an Iron(wo)man, a vita-mixer, and a passionate soul who is committed to living a life beyond her wildest dreams. Together, they are here to help people get out of their own way and live big, juicy, heart-exploding love-filled lives."
